STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Assam,SONITPUR,2013,0,2,4,2,0,0,0,0,0,0,0,24,32,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,82,03_District_wise_crimes_committed_against_children_2013.csv::82,False,UNIQUE,SONITPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,STF,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,83,03_District_wise_crimes_committed_against_children_2013.csv::83,False,UNIQUE,STF,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,TINSUKIA,2013,0,1,4,0,0,0,0,0,0,0,0,0,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,84,03_District_wise_crimes_committed_against_children_2013.csv::84,False,UNIQUE,TINSUKIA,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,UDALGURI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,85,03_District_wise_crimes_committed_against_children_2013.csv::85,False,UNIQUE,UDALGURI,DISTRICT_OR_REPORTING_UNIT,VALID
Bihar,ARARIA,2013,0,0,1,25,0,0,0,0,0,0,0,0,26,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,87,03_District_wise_crimes_committed_against_children_2013.csv::87,False,UNIQUE,ARARIA,DISTRICT_OR_REPORTING_UNIT,VALID
Bihar,ARWAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,88,03_District_wise_crimes_committed_against_children_2013.csv::88,False,UNIQUE,ARWAL,DISTRICT_OR_REPORTING_UNIT,VALID
Bihar,AURANGABAD,2013,0,3,6,0,0,0,0,0,0,0,0,0,9,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,89,03_District_wise_crimes_committed_against_children_2013.csv::89,False,UNIQUE,AURANGABAD,DISTRICT_OR_REPORTING_UNIT,VALID
Bihar,BAGAHA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,90,03_District_wise_crimes_committed_against_children_2013.csv::90,False,UNIQUE,BAGAHA,DISTRICT_OR_REPORTING_UNIT,VALID
Bihar,BANKA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,91,03_District_wise_crimes_committed_against_children_2013.csv::91,False,UNIQUE,BANKA,DISTRICT_OR_REPORTING_UNIT,VALID
Bihar,BEGUSARAI,2013,0,4,1,0,0,0,0,0,0,0,0,0,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,92,03_District_wise_crimes_committed_against_children_2013.csv::92,False,UNIQUE,BEGUSARAI,DISTRICT_OR_REPORTING_UNIT,VALID
