feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
SC_IPC_RIOTS,0.0,0.0,0.0,0.0,23,3.16
ST_POA_KIDNAPING_ABDUCTION_TOTAL,0.0,0.0,0.0,0.0,22,3.02
SC_POA_DACOITY,0.0,0.0,0.0,0.0,21,2.88
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,0.0,0.0,0.0,0.0,21,2.88
SC_POA_OTHER_DACOITY,0.0,0.0,0.0,0.0,21,2.88
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,0.0,0.0,0.0,0.0,21,2.88
ST_IPC_GRIEVOUS_HURT,0.0,0.0,0.0,0.0,20,2.75
ST_IPC_HURT,0.0,0.0,0.0,0.0,20,2.75
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.0,0.0,0.0,0.0,20,2.75
ST_IPC_KIDNAPPING_ABDUCTION,0.0,0.0,0.0,0.0,20,2.75
ST_POA_ARSON,0.0,0.0,0.0,0.0,20,2.75
SC_IPC_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,19,2.61
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,0.0,0.0,0.0,0.0,19,2.61
ST_IPC_OTHER_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,18,2.47
ST_IPC_RAPE,0.0,0.0,0.0,0.0,18,2.47
ST_OTHER_SLL_CRIME_AGAINST_STS,0.0,0.0,0.0,0.0,17,2.34
WOMEN_ITP_UNDER_SECTION_7,0.0,0.0,0.0,0.0,17,2.34
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,0.0,0.0,0.0,0.0,16,2.2
WOMEN_ITP_UNDER_SECTION_8,0.0,0.0,0.0,0.0,16,2.2
ST_POA_STALKING,0.0,0.0,0.0,0.0,15,2.06
SC_IPC_OTHER_KIDNAPPING,0.0,0.0,0.0,0.0,15,2.06
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.0,0.0,0.0,0.0,14,1.92
