column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,float64,9127,9856,92.6,729,52
IPC_ATTEMPT_TO_COMMIT_MURDER,float64,9127,9856,92.6,729,165
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,float64,9127,9856,92.6,729,5
IPC_PLACES_OTHER_THAN_231_232_233,float64,9127,9856,92.6,729,72
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,float64,9127,9856,92.6,729,7
IPC_OTHER_PLACES_RELATED_TO_WORK,float64,9127,9856,92.6,729,15
IPC_AT_OFFICE_PREMISES,float64,9127,9856,92.6,729,6
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9127,9856,92.6,729,71
IPC_OTHER_ASSAULT_ON_WOMEN,float64,9127,9856,92.6,729,205
IPC_STALKING,float64,9127,9856,92.6,729,61
IPC_VOYEURISM,float64,9127,9856,92.6,729,20
IPC_OTHER_DACOITY,float64,9127,9856,92.6,729,40
IPC_OTHER_KIDNAPPING,float64,9127,9856,92.6,729,120
IPC_DACOITY_WITH_MURDER,float64,9127,9856,92.6,729,5
IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9127,9856,92.6,729,170
IPC_KIDNAPPING_FOR_RANSOM,float64,9127,9856,92.6,729,15
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,float64,9127,9856,92.6,729,11
IPC_KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9127,9856,92.6,729,30
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,float64,9127,9856,92.6,729,5
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,float64,9127,9856,92.6,729,4
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,float64,9127,9856,92.6,729,16
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,float64,9127,9856,92.6,729,17
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,float64,9127,9856,92.6,729,26
IPC_COUNTERFEITING_GOVERNMENT_STAMP,float64,9127,9856,92.6,729,2
IPC_CRIMINAL_TRESPASS_BURGLARY,float64,9127,9856,92.6,729,296
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,float64,9127,9856,92.6,729,253
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,float64,9127,9856,92.6,729,42
IPC_RIOTS_POLITICAL,float64,9127,9856,92.6,729,32
IPC_OTHER_THEFTS,float64,9127,9856,92.6,729,393
IPC_UNLAWFUL_ASSEMBLY,float64,9127,9856,92.6,729,75
IPC_RIOTS_COMMUNAL,float64,9127,9856,92.6,729,20
IPC_RIOTS_INDUSTRIAL,float64,9127,9856,92.6,729,10
IPC_RIOTS_CASTE_CONFLICT,float64,9127,9856,92.6,729,31
CHILDREN_OTHER_MURDER,float64,9121,9856,92.54,735,20
CHILDREN_INFANTICID,float64,9121,9856,92.54,735,6
CHILDREN_MURDER,float64,1737,9856,17.62,8119,42
SC_PREVENTION_OF_ATROCITIES_POA_ACT,float64,1003,9856,10.18,8853,207
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,float64,1003,9856,10.18,8853,49
SC_ARSON,float64,1003,9856,10.18,8853,16
SC_HURT,float64,1003,9856,10.18,8853,122
SC_RAPE,float64,1003,9856,10.18,8853,32
SC_KIDNAPPING_AND_ABDUCTION,float64,1003,9856,10.18,8853,22
SC_MURDER,float64,1003,9856,10.18,8853,21
SC_OTHER_CRIMES_AGAINST_SCS,float64,1003,9856,10.18,8853,270
SC_DACOITY,float64,1003,9856,10.18,8853,8
SC_ROBBERY,float64,1003,9856,10.18,8853,13
CHILDREN_OTHER_CRIMES,float64,1002,9856,10.17,8854,194
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,float64,1002,9856,10.17,8854,16
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,float64,1002,9856,10.17,8854,27
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,float64,1002,9856,10.17,8854,15
CHILDREN_PROCURATION_OF_MINOR_GIRLS,float64,1002,9856,10.17,8854,53
CHILDREN_EXPOSURE_AND_ABANDONMENT,float64,1002,9856,10.17,8854,37
CHILDREN_ABETMENT_OF_SUICIDE,float64,1002,9856,10.17,8854,14
CHILDREN_FOETICIDE,float64,1002,9856,10.17,8854,19
CHILDREN_KIDNAPPING_AND_ABDUCTION,float64,1002,9856,10.17,8854,227
CHILDREN_RAPE,float64,1002,9856,10.17,8854,109
CHILDREN_TOTAL,float64,992,9856,10.06,8864,358
ST_ROBBERY,float64,968,9856,9.82,8888,15
ST_HURT,float64,968,9856,9.82,8888,51
ST_ARSON,float64,968,9856,9.82,8888,11
ST_MURDER,float64,968,9856,9.82,8888,23
ST_RAPE,float64,968,9856,9.82,8888,39
ST_KIDNAPPING_ABDUCTION,float64,968,9856,9.82,8888,14
ST_DACOITY,float64,968,9856,9.82,8888,13
ST_OTHER_CRIMES_AGAINST_STS,float64,968,9856,9.82,8888,99
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,float64,968,9856,9.82,8888,19
ST_PREVENTION_OF_ATROCITIES_POA_ACT,float64,968,9856,9.82,8888,72
WOMEN_INSULT_TO_MODESTY_OF_WOMEN,float64,954,9856,9.68,8902,264
WOMEN_KIDNAPPING_AND_ABDUCTION,float64,954,9856,9.68,8902,331
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,954,9856,9.68,8902,399
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,float64,954,9856,9.68,8902,24
IPC_COUNTERFIETING,float64,954,9856,9.68,8902,93
IPC_OTHER_RAPE,float64,954,9856,9.68,8902,246
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,float64,954,9856,9.68,8902,331
IPC_ATTEMPT_TO_MURDER,float64,954,9856,9.68,8902,329
WOMEN_IMPORTATION_OF_GIRLS,float64,954,9856,9.68,8902,24
IPC_BURGLARY,float64,954,9856,9.68,8902,717
IPC_OTHER_THEFT,float64,954,9856,9.68,8902,1144
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,float64,954,9856,9.68,8902,128
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,float64,954,9856,9.68,8902,202
IPC_TOTAL_IPC_CRIMES,float64,954,9856,9.68,8902,4802
IPC_HURT_GREVIOUS_HURT,float64,954,9856,9.68,8902,1658
IPC_INSULT_TO_MODESTY_OF_WOMEN,float64,954,9856,9.68,8902,264
WOMEN_DOWRY_DEATHS,float64,226,9856,2.29,9630,128
WOMEN_RAPE,float64,226,9856,2.29,9630,265
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,float64,226,9856,2.29,9630,732
IPC_ARSON,float64,225,9856,2.28,9631,130
IPC_CHEATING,float64,225,9856,2.28,9631,686
IPC_RAPE,float64,225,9856,2.28,9631,265
IPC_DACOITY,float64,225,9856,2.28,9631,107
IPC_THEFT,float64,225,9856,2.28,9631,1617
IPC_MURDER,float64,225,9856,2.28,9631,294
IPC_RIOTS,float64,225,9856,2.28,9631,615
