column,missing_count,missing_pct,non_missing_count
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,1002,10.17,8854
CHILDREN_OTHER_CRIMES,1002,10.17,8854
CHILDREN_TOTAL,992,10.06,8864
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,968,9.82,8888
ST_ARSON,968,9.82,8888
ST_ROBBERY,968,9.82,8888
ST_DACOITY,968,9.82,8888
ST_RAPE,968,9.82,8888
ST_MURDER,968,9.82,8888
ST_HURT,968,9.82,8888
ST_KIDNAPPING_ABDUCTION,968,9.82,8888
ST_PREVENTION_OF_ATROCITIES_POA_ACT,968,9.82,8888
ST_OTHER_CRIMES_AGAINST_STS,968,9.82,8888
IPC_HURT_GREVIOUS_HURT,954,9.68,8902
IPC_ATTEMPT_TO_MURDER,954,9.68,8902
IPC_OTHER_RAPE,954,9.68,8902
IPC_KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,954,9.68,8902
IPC_KIDNAPPING_AND_ABDUCTION_OF_OTHERS,954,9.68,8902
IPC_PREPARATION_AND_ASSEMBLY_FOR_DACOITY,954,9.68,8902
IPC_BURGLARY,954,9.68,8902
IPC_OTHER_THEFT,954,9.68,8902
IPC_COUNTERFIETING,954,9.68,8902
WOMEN_IMPORTATION_OF_GIRLS,954,9.68,8902
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,954,9.68,8902
IPC_TOTAL_IPC_CRIMES,954,9.68,8902
WOMEN_INSULT_TO_MODESTY_OF_WOMEN,954,9.68,8902
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,954,9.68,8902
IPC_INSULT_TO_MODESTY_OF_WOMEN,954,9.68,8902
WOMEN_KIDNAPPING_AND_ABDUCTION,954,9.68,8902
WOMEN_RAPE,226,2.29,9630
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,226,2.29,9630
WOMEN_DOWRY_DEATHS,226,2.29,9630
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,225,2.28,9631
IPC_CUSTODIAL_RAPE,225,2.28,9631
IPC_KIDNAPPING_ABDUCTION,225,2.28,9631
