column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
ST_POA_OTHER_SEXUAL_HARASSMENT,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,16
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,ST,OTHER_CRIME,False,float64,9128,92.61,3
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,ST,KIDNAPPING_ABDUCTION,True,float64,9128,92.61,9
ST_POA_KIDNAPING_ABDUCTION_TOTAL,ST,KIDNAPPING_ABDUCTION,True,float64,9128,92.61,6
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,1
ST_POA_KIDNAPPING_FOR_RANSOM,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,1
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,5
ST_POA_OTHER_KIDNAPPING,ST,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,7
ST_POA_DACOITY,ST,DACOITY_ROBBERY,False,float64,9128,92.61,2
ST_POA_DACOITY_WITH_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,1
ST_POA_OTHER_DACOITY,ST,DACOITY_ROBBERY,False,float64,9128,92.61,2
ST_POA_ROBBERY,ST,DACOITY_ROBBERY,False,float64,9128,92.61,3
ST_POA_ARSON,ST,ARSON,False,float64,9128,92.61,3
ST_POA_GRIEVOUS_HURT,ST,HURT_ASSAULT,False,float64,9128,92.61,15
ST_POA_HURT,ST,HURT_ASSAULT,False,float64,9128,92.61,15
ST_POA_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,2
ST_POA_ATTEMPT_TO_ACID_ATTACK,ST,OTHER_CRIME,False,float64,9128,92.61,1
ST_POA_RIOTS,ST,RIOTS_PUBLIC_ORDER,False,float64,9128,92.61,5
ST_POA_OTHER_IPC_CRIMES,ST,OTHER_CRIME,True,float64,9128,92.61,48
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,ST,OTHER_CRIME,False,float64,9128,92.61,28
