feature,observed_sum,mean,median,non_missing,missing_pct
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,37.0,0.050824175824175824,0.0,728,92.61363636363636
ST_POA_KIDNAPING_ABDUCTION_TOTAL,37.0,0.050824175824175824,0.0,728,92.61363636363636
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,36.0,0.04945054945054945,0.0,728,92.61363636363636
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,34.0,0.046703296703296704,0.0,728,92.61363636363636
ST_IPC_ROBBERY,33.0,0.04532967032967033,0.0,728,92.61363636363636
ST_IPC_SEXUAL_HARASSMENT,32.0,0.04395604395604396,0.0,728,92.61363636363636
ST_POA_STALKING,31.0,0.042582417582417584,0.0,728,92.61363636363636
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,31.0,0.042582417582417584,0.0,728,92.61363636363636
SC_IPC_OTHER_KIDNAPPING,30.0,0.04120879120879121,0.0,728,92.61363636363636
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,30.0,0.04120879120879121,0.0,728,92.61363636363636
IPC_RIOTS_SECTARIAN,29.0,0.039780521262002745,0.0,729,92.60349025974025
SC_POA_DACOITY,25.0,0.034340659340659344,0.0,728,92.61363636363636
SC_POA_OTHER_DACOITY,25.0,0.034340659340659344,0.0,728,92.61363636363636
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,25.0,0.03429355281207133,0.0,729,92.60349025974025
ST_POA_ARSON,23.0,0.03159340659340659,0.0,728,92.61363636363636
ST_POA_ATTEMPT_TO_COMMIT_RAPE,22.0,0.03021978021978022,0.0,728,92.61363636363636
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,22.0,0.03021978021978022,0.0,728,92.61363636363636
SC_IPC_ROBBERY,21.0,0.028846153846153848,0.0,728,92.61363636363636
ST_IPC_ARSON,19.0,0.0260989010989011,0.0,728,92.61363636363636
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,18.0,0.024691358024691357,0.0,729,92.60349025974025
SC_IPC_ARSON,16.0,0.02197802197802198,0.0,728,92.61363636363636
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,16.0,0.02197802197802198,0.0,728,92.61363636363636
SC_IPC_STALKING,16.0,0.02197802197802198,0.0,728,92.61363636363636
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,15.0,0.020604395604395604,0.0,728,92.61363636363636
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,14.0,0.019230769230769232,0.0,728,92.61363636363636
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,14.0,0.019204389574759947,0.0,729,92.60349025974025
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,13.0,0.017857142857142856,0.0,728,92.61363636363636
ST_POA_ROBBERY,12.0,0.016483516483516484,0.0,728,92.61363636363636
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,12.0,0.01646090534979424,0.0,729,92.60349025974025
SC_POA_VOYEURISM,12.0,0.016483516483516484,0.0,728,92.61363636363636
WOMEN_DACOITY_WITH_MURDER,8.0,0.01098901098901099,0.0,728,92.61363636363636
WOMEN_CUSTODIAL_GANG_RAPE,7.0,0.009615384615384616,0.0,728,92.61363636363636
IPC_CUSTODIAL_GANG_RAPE,7.0,0.009602194787379973,0.0,729,92.60349025974025
