,count,mean,std,min,1%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
SC_POA_ATTEMPT_TO_ACID_ATTACK,728.0,0.004120879120879121,0.11118739749916516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9128,92.61
SC_POA_RIOTS,728.0,1.0521978021978022,3.4613242338561143,0.0,0.0,0.0,0.0,0.0,6.0,18.0,36.0,9128,92.61
SC_POA_OTHER_IPC_CRIMES,728.0,28.40521978021978,58.12441548613629,0.0,0.0,0.0,3.0,29.0,152.0,276.4100000000003,489.0,9128,92.61
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,728.0,11.32554945054945,30.042652961192644,0.0,0.0,0.0,0.0,7.0,62.299999999999955,143.0300000000002,385.0,9128,92.61
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,728.0,52.54945054945055,80.96157170678423,0.0,0.0,1.0,21.0,72.0,198.64999999999998,360.46000000000004,770.0,9128,92.61
SC_IPC_MURDER,728.0,0.11126373626373626,0.8040369578941933,0.0,0.0,0.0,0.0,0.0,0.0,2.730000000000018,11.0,9128,92.61
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,728.0,0.08928571428571429,0.8067770278865695,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9128,92.61
SC_IPC_RAPE,728.0,0.17857142857142858,1.3549977358715175,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,9128,92.61
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,728.0,0.02197802197802198,0.2766680103697738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9128,92.61
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,728.0,0.4491758241758242,2.8690156916954366,0.0,0.0,0.0,0.0,0.0,1.0,14.460000000000036,47.0,9128,92.61
SC_IPC_SEXUAL_HARASSMENT,728.0,0.061813186813186816,0.5033838816604604,0.0,0.0,0.0,0.0,0.0,0.0,1.7300000000000182,8.0,9128,92.61
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,728.0,0.04120879120879121,0.417570981312519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9128,92.61
SC_IPC_VOYEURISM,728.0,0.005494505494505495,0.14824986333222023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9128,92.61
SC_IPC_STALKING,728.0,0.02197802197802198,0.30050015997714274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9128,92.61
SC_IPC_OTHER_SEXUAL_HARASSMENT,728.0,0.31868131868131866,2.44669890570261,0.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,9128,92.61
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,728.0,0.04945054945054945,0.572429101248077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,9128,92.61
SC_IPC_KIDNAPPING_ABDUCTION,728.0,0.16071428571428573,1.4460477981808553,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,9128,92.61
SC_IPC_KIDNAPING_ABDUCTION,728.0,0.07142857142857142,1.1504952072264587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,9128,92.61
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9128,92.61
SC_IPC_KIDNAPPING_FOR_RANSOM,728.0,0.0013736263736263737,0.03706246583305505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9128,92.61
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,728.0,0.046703296703296704,0.42027712072030077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,9128,92.61
SC_IPC_OTHER_KIDNAPPING,728.0,0.04120879120879121,0.32915158384788074,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9128,92.61
SC_IPC_DACOITY,728.0,0.006868131868131868,0.09788449626414249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9128,92.61
SC_IPC_DACOITY_WITH_MURDER,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9128,92.61
SC_IPC_OTHER_DACOITY,728.0,0.006868131868131868,0.09788449626414249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9128,92.61
SC_IPC_ROBBERY,728.0,0.028846153846153848,0.25800587191752294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9128,92.61
SC_IPC_ARSON,728.0,0.02197802197802198,0.20194498429705937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9128,92.61
SC_IPC_GRIEVOUS_HURT,728.0,0.14285714285714285,0.9536311961357334,0.0,0.0,0.0,0.0,0.0,0.0,3.730000000000018,20.0,9128,92.61
SC_IPC_HURT,728.0,0.14285714285714285,0.9536311961357334,0.0,0.0,0.0,0.0,0.0,0.0,3.730000000000018,20.0,9128,92.61
SC_IPC_ACID_ATTACK,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9128,92.61
SC_IPC_ATTEMPT_TO_ACID_ATTACK,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9128,92.61
SC_IPC_RIOTS,728.0,0.12362637362637363,0.9577553038078024,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,9128,92.61
