UNIT_NAME,row_count
RATNAGIRI,13
GARO HILLS EAST,13
SANGLI,13
SATARA,13
SINDHUDURG,13
SOLAPUR COMMR.,13
THANE COMMR.,13
WARDHA,13
WASHIM,13
YAVATMAL,13
BISHNUPUR,13
CHANDEL,13
CHURACHANDPUR,13
SENAPATI,13
TAMENGLONG,13
THOUBAL,13
UKHRUL,13
DUNGARPUR,13
RAJSAMAND,13
HANUMANGARH,13
JAUNPUR,13
RAMPUR,13
SAHARANPUR,13
SANT KABIRNAGAR,13
SHAHJAHANPUR,13
SHRAWASTI,13
SIDHARTHNAGAR,13
SITAPUR,13
SONBHADRA,13
ST.RAVIDASNAGAR,13
SULTANPUR,13
UNNAO,13
VARANASI,13
ALMORA,13
BAGESHWAR,13
CHAMOLI,13
RAIBAREILLY,13
PILIBHIT,13
MUZAFFARNAGAR,13
LUCKNOW,13
KANNAUJ,13
KANPUR NAGAR,13
KAUSHAMBI,13
KHIRI,13
KUSHI NAGAR,13
LALITPUR,13
MAHARAJGANJ,13
MORADABAD,13
MAHOBA,13
MAINPURI,13
MATHURA,13
MAU,13
MEERUT,13
MIRZAPUR,13
CHAMPAWAT,13
DEHRADUN,13
HARIDWAR,13
SEALDAH G.R.P.,13
JALPAIGURI,13
KOLKATA,13
MALDA,13
MURSHIDABAD,13
NADIA,13
PURULIA,13
SILIGURI G.R.P.,13
HOWRAH,13
UTTAR DINAJPUR,13
CHANDIGARH,13
DAMAN,13
DIU,13
LAKSHADWEEP,13
OUTER,13
HOWRAH G.R.P.,13
HOOGHLY,13
NAINITAL,13
24 PARGANAS NORTH,13
PAURI GARHWAL,13
PITHORAGARH,13
RUDRA PRAYAG,13
TEHRI GARHWAL,13
UDHAMSINGH NAGAR,13
UTTARKASHI,13
24 PARGANAS SOUTH,13
DARJEELING,13
ASANSOL,13
BANKURA,13
BIRBHUM,13
BURDWAN,13
COOCHBEHAR,13
DAKSHIN DINAJPUR,13
JHANSI,13
JALAUN,13
JAISALMER,13
HATHRAS,13
KANCHIPURAM,13
KANYAKUMARI,13
KARUR,13
NAGAPATTINAM,13
NAMAKKAL,13
NILGIRIS,13
PERAMBALUR,13
PUDUKOTTAI,13
RAMNATHAPURAM,13
SIVAGANGAI,13
THANJAVUR,13
THENI,13
THIRUVALLUR,13
THIRUVANNAMALAI,13
THIRUVARUR,13
ERODE,13
DINDIGUL,13
DHARMAPURI,13
SEONI,13
JALORE,13
JHALAWAR,13
JHUNJHUNU,13
KARAULI,13
NAGAUR,13
PALI,13
SAWAI MADHOPUR,13
CUDDALORE,13
SIKAR,13
SIROHI,13
TONK,13
UDAIPUR,13
CHENNAI,13
CHENNAI RLY.,13
THOOTHUGUDI,13
TRICHY RLY.,13
VELLORE,13
FATEHPUR,13
CHITRAKOOT DHAM,13
DEORIA,13
ETAH,13
ETAWAH,13
FAIZABAD,13
FATEHGARH,13
FIROZABAD,13
BULANDSHAHAR,13
GAUTAMBUDH NAGAR,13
GHAZIABAD,13
GHAZIPUR,13
GONDA,13
GORAKHPUR,13
HARDOI,13
CHANDOLI,13
BIJNOR,13
VIRUDHUNAGAR,13
AZAMGARH,13
DHALAI,13
AGRA,13
ALIGARH,13
ALLAHABAD,13
AMBEDKAR NAGAR,13
AURAIYA,13
BADAUN,13
BASTI,13
BAGHPAT,13
BAHRAICH,13
BALLIA,13
BANDA,13
BARABANKI,13
BAREILLY,13
SHAHDOL,13
GARO HILLS SOUTH,13
SATNA,13
SAGAR,13
SAMASTIPUR,13
SARAN,13
SHEIKHPURA,13
SHEOHAR,13
SITAMARHI,13
SIWAN,13
SUPAUL,13
BIZAPUR,13
KORBA,13
DANTEWARA,13
DHAMTARI,13
DURG,13
GRP RAIPUR,13
JAGDALPUR,13
JANJGIR,13
JASHPUR,13
SAHARSA,13
ROHTAS,13
PURNEA,13
PATNA RLY.,13
KATIHAR,13
KATIHAR RLY.,13
KHAGARIA,13
KISHANGANJ,13
LAKHISARAI,13
MADHEPURA,13
MADHUBANI,13
MOTIHARI,13
MUNGER,13
MUZAFFARPUR,13
MUZAFFARPUR RLY.,13
NALANDA,13
NAUGACHIA,13
NAWADAH,13
PATNA,13
KANKER,13
KORIYA,13
JAMUI,13
SURAT COMMR.,13
NARMADA,13
NAVSARI,13
PALANPUR,13
PANCHMAHAL,13
PATAN,13
PORBANDAR,13
RAJKOT COMMR.,13
SURENDRANAGAR,13
MAHASAMUND,13
VADODARA COMMR.,13
VALSAD,13
BHIWANI,13
