column_name,data_type,missing_count,missing_pct,unique_values
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,float64,226,2.29,732
WOMEN_IMPORTATION_OF_GIRLS,float64,954,9.68,24
WOMEN_CUSTODIAL_RAPE,float64,9128,92.61,15
WOMEN_CUSTODIAL_GANG_RAPE,float64,9128,92.61,3
WOMEN_CUSTODIAL_OTHER_RAPE,float64,9128,92.61,14
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,float64,9128,92.61,158
WOMEN_RAPE_GANG_RAPE,float64,9128,92.61,33
WOMEN_RAPE_OTHERS,float64,9128,92.61,156
WOMEN_ATTEMPT_TO_COMMIT_RAPE,float64,9128,92.61,54
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,float64,9128,92.61,227
WOMEN_KIDNAPING_ABDUCTION,float64,9128,92.61,119
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,92.61,9
WOMEN_KIDNAPPING_FOR_RANSOM,float64,9128,92.61,7
WOMEN_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,92.61,170
WOMEN_KIDNAPING_ABDUCTION_OTHERS,float64,9128,92.61,85
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,float64,9128,92.61,271
WOMEN_SEXUAL_HARASSMENT,float64,9128,92.61,131
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,92.61,71
WOMEN_VOYEURISM,float64,9128,92.61,20
WOMEN_STALKING,float64,9128,92.61,61
WOMEN_OTHERS,float64,9128,92.61,205
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,float64,9128,92.61,71
WOMEN_AT_OFFICE_PREMISES,float64,9128,92.61,6
WOMEN_IN_PLACES_RELATED_TO_WORK,float64,9128,92.61,15
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,float64,9128,92.61,7
WOMEN_IN_OTHER_PLACES,float64,9128,92.61,72
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,float64,9128,92.61,5
WOMEN_MURDER,float64,9128,92.61,57
WOMEN_ATTEMPT_TO_COMMIT_MURDER,float64,9128,92.61,48
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,float64,9128,92.61,11
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,float64,9128,92.61,16
WOMEN_GRIEVOUS_HURT,float64,9128,92.61,75
WOMEN_HURT,float64,9128,92.61,73
WOMEN_ACID_ATTACK,float64,9128,92.61,6
WOMEN_ATTEMPT_TO_ACID_ATTACK,float64,9128,92.61,3
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,float64,9128,92.61,2
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,float64,9128,92.61,8
WOMEN_DACOITY_TOTAL,float64,9128,92.61,12
WOMEN_DACOITY_WITH_MURDER,float64,9128,92.61,2
WOMEN_OTHER_DACOITY,float64,9128,92.61,12
WOMEN_ROBBERY,float64,9128,92.61,71
WOMEN_ARSON,float64,9128,92.61,11
WOMEN_HUMANTRAFFICKING,float64,9128,92.61,17
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,float64,9128,92.61,49
WOMEN_UNNATURAL_OFFENCES,float64,9128,92.61,5
WOMEN_OTHER_IPC_CRIMES,float64,9128,92.61,198
WOMEN_DOWRY_PROHIBITION_ACT_1961,float64,9128,92.61,91
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,float64,9128,92.61,6
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,float64,9128,92.61,1
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,float64,9128,92.61,15
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,float64,9128,92.61,29
WOMEN_ITP_UNDER_SECTION_5,float64,9128,92.61,17
WOMEN_ITP_UNDER_SECTION_6,float64,9128,92.61,7
WOMEN_ITP_UNDER_SECTION_7,float64,9128,92.61,9
WOMEN_ITP_UNDER_SECTION_8,float64,9128,92.61,8
WOMEN_ITP_UNDER_OTHER_SECTIONS,float64,9128,92.61,22
WOMEN_OTHER_SLL_CRIMES_AGAINST_WOMEN,float64,9128,92.61,90
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,float64,9128,92.61,516
IPC_AVAILABLE,bool,0,0.0,2
SC_AVAILABLE,bool,0,0.0,2
ST_AVAILABLE,bool,0,0.0,2
CHILDREN_AVAILABLE,bool,0,0.0,2
WOMEN_AVAILABLE,bool,0,0.0,2
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,225,2.28,432
IPC_AUTO_THEFT,float64,225,2.28,1015
IPC_CAUSING_DEATH_BY_NEGLIGENCE,float64,225,2.28,696
IPC_CRIMINAL_BREACH_OF_TRUST,float64,225,2.28,276
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,float64,225,2.28,732
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,float64,225,2.28,95
IPC_CUSTODIAL_RAPE,float64,225,2.28,16
IPC_DOWRY_DEATHS,float64,225,2.28,128
IPC_KIDNAPPING_ABDUCTION,float64,225,2.28,413
IPC_OTHER_IPC_CRIMES,float64,225,2.28,3072
